name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
John McLaren Park - Mansfield Children's Play Area Drinking Fountain,8780129726518220338,drinking_water,1,0,0,0,37.72368986,-122.42308908,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.423089082 37.723689857),11,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Collis P. Huntington Park - Hardscaped Area Drinking Fountains,2456394613516318918,drinking_water,1,0,0,0,37.79207822,-122.41238227,California & Taylor Streets,San Francisco,CA,94108,Collis P. Huntington Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.41238227 37.792078222),3,Nob Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,16,6,3,21,83
Golden Gate Park McLaren Lodge,3416477700079353706,restroom,0,0,0,0,37.771878738717476,-122.4548194738256,501 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.454819474 37.771878739),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,4,12,229
Parkside Square Bathrooms,3083197964417393154,restroom,0,0,0,0,37.73833757806036,-122.48372258799292,28th Ave & Vicente,San Francisco,CA,94116,Parkside Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.483722588 37.738337578),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,40,10,7,35,217
Alioto Mini Park - Children's Play Area Drinking Fountain,8724587694701667339,drinking_water,1,0,0,0,37.75899385,-122.41823059,20th & Capp,San Francisco,CA,94110,Alioto Mini Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.41823059 37.758993853),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,147
Tenderloin Rec Center,6002601376018621454,restroom,0,0,0,0,37.78460087279808,-122.41564732797684,570 Ellis St,San Francisco,CA,94109,Tenderloin Recreation Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415647328 37.784600873),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,103
Golden Gate Park Rose Garden Bathroom,4916273171344549738,restroom,0,0,0,0,37.77152256948519,-122.47202101065012,Stanyan & Great Hwy,San Francisco,CA,94118,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.472021011 37.771522569),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,232
Lafayette Park - Non-Landscaped Greenspace Drinking Fountains,5013074392062870570,drinking_water,1,0,0,0,37.79131419,-122.42861962,Gough & Washington Streets,San Francisco,CA,94109,Lafayette Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.428619618 37.791314191),2,Pacific Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,102,4,6,30,212
Kid Power Park - Concrete Hardscaped Area Drinking Fountains,1484250037915283505,drinking_water,1,0,0,0,37.76416757,-122.42024528,45 Hoff Street,San Francisco,CA,94110,Kid Power Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420245279 37.764167571),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,185
Portsmouth Square Clubhouse,5076840125778629956,restroom,0,0,0,0,37.79502053174189,-122.405338992126,Washington & Kearny St,San Francisco,CA,94108,Portsmouth Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405338992 37.795020532),3,Chinatown,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,104,6,3,6,127
