name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
J.P. Murphy Playground - Multi-Use Paved Play Area Drinking Fountain,8010893446617925886,drinking_water,1,0,0,0,37.7515454,-122.46518978,1960 9th Ave,San Francisco,CA,94116,J.P. Murphy Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465189783 37.751545398),7,Inner Sunset,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,45,10,8,14,178
Cayuga Playground - Hardscape Area Drinking Fountain,8789857657291252557,drinking_water,1,0,0,0,37.71432704,-122.44986996,301 Naglee Avenue,San Francisco,CA,94112,Cayuga Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449869964 37.714327039),11,Outer Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,66,9,1,28,205
Hilltop Park,5266853380894405697,drinking_water,0,1,1,0,37.73328,-122.38366,45 Progress St,San Francisco,CA,94124,,publicly_accessible,,,Daily,,puc,POINT (-122.38366 37.73328),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
Mission Playground - Concrete Path Drinking Fountain,4229216451584641891,drinking_water,1,1,0,0,37.75944302,-122.42240856,19th Street & Linda,San Francisco,CA,94110,Mission Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.422408561 37.759443017),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,37,3,5,20,214
Gilman Bathrooms,7956759552719151542,restroom,0,0,0,0,37.71718353263958,-122.38878585838471,Gilman Ave & Griffith,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.388785858 37.717183533),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,88,2,9,1,169
Minnie and Lovie Rec Center - Drinking Fountain,4957285830811889691,drinking_water,1,0,0,0,37.71511351,-122.45624227,650 Capitol,San Francisco,CA,94112,Minnie and Lovie Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.456242275 37.715113508),11,Oceanview/Merced/Ingleside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,81,10,1,24,89
Golden Gate Park Robin Williams Meadow Restroom,2718881212130349365,restroom,0,0,0,0,37.768200610646815,-122.45894632547952,Robin Williams Meadow,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458946325 37.768200611),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,228
Golden Gate Park Stanyan Kiosk,5807497384622026071,restroom,0,0,0,0,37.769905471317514,-122.45428183894543,Stanyan & Page,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.454281839 37.769905471),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Youngblood Coleman Clubhouse,1204923542090208152,restroom,0,0,0,0,37.73797742477527,-122.3841349642358,Mendell & Galvez,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.384134964 37.737977425),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,224
Richmond PG Clubhouse,5112462014071340856,restroom,0,0,0,0,37.78532679425362,-122.47796162328653,149 18th Ave,San Francisco,CA,94121,Richmond Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.477961623 37.785326794),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,2,8,4,29,122
Ball Diamond 1 Grandstand,4785327987590003465,restroom,0,0,0,0,37.71497905236457,-122.43181593973115,Moscow & Geneva Streets,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43181594 37.714979052),11,Excelsior,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,58,9,1,7,158
Pier 14,760719995364998060,drinking_water,1,1,0,0,37.793789,-122.392106,Embarcadero and Broadway,San Francisco,CA,94105,,publicly_accessible,,,Daily,On sidewalk,port,POINT (-122.392106 37.793789),6,Financial District/South Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,108,1,10,8,
Washington Square - Bottle Filling Station,4901972382109898846,drinking_water,1,1,0,0,37.80052342,-122.40978818,Filbert & Stockton,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409788177 37.800523424),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,106,6,3,23,94
Gilman Playground - Pathway Drinking Fountain,5751041117948465640,drinking_water,1,0,0,0,37.71732522,-122.3871789,Gilman Avenue & Griffith,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.387178895 37.717325224),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,88,2,9,1,169
Chalmers: Clubhouse,4935046314119674759,restroom,0,0,0,0,37.70950402403031,-122.44706570343223,670 Brunswick & Lowell Roemer,San Francisco,CA,94112,Alice Chalmers Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447065703 37.709504024),11,Excelsior,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,58,9,1,7,68
Franklin Square - Asphalt Pathway Drinking Fountain,9092680535449039077,drinking_water,1,1,0,0,37.76480717,-122.40910428,16th & Bryant Streets,San Francisco,CA,94110,Franklin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409104276 37.76480717),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,9,20,164
Presidio Wall Clubhouse,1155075361421330535,restroom,0,0,0,0,37.79128986545472,-122.45377961711995,West Pacific Ave & Spruce St,San Francisco,CA,94129,Presidio Wall Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.453779617 37.791289865),2,Presidio,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,3,,6,27,19
Excelsior Clubhouse,7624069768620183306,restroom,0,0,0,0,37.72023454953466,-122.4335855121827,Russia Ave & Madrid,San Francisco,CA,94112,Excelsior Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.433585512 37.72023455),11,Excelsior,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,90,9,1,7,161
Palega Rec Center,1380573470462414493,restroom,0,0,0,0,37.72920701530304,-122.40974184499017,500 Felton,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409741845 37.729207015),9,Portola,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,91,2,2,25,130
Gilman Clubhouse,5040493411167008693,restroom,0,0,0,0,37.71680106324009,-122.38835499126655,Gilman Ave & Griffith,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.388354991 37.716801063),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,88,2,9,1,169
Mountain Lake Restrooms,7662904050712720207,restroom,0,0,0,0,37.787022939909065,-122.47178157008233,12th Ave & Lake St,San Francisco,CA,94118,Mountain Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.47178157 37.78702294),1,Inner Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,4,,6,11,134
Pine Lake Park Clubhouse,2223355946498313310,restroom,0,0,0,0,37.73599378709451,-122.48720705531566,Sloat Blvd & Vale St,San Francisco,CA,94132,Pine Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.487207055 37.735993787),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,40,10,7,35,218
Sunnyside Playground - Asphalt Pathway Drinking Fountains,774824152511479189,drinking_water,1,0,0,0,37.73385632,-122.44819922,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448199217 37.733856319),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,95,9,8,41,222
DuPont Tennis Courts - Hardscaped Area Drinking Fountain,8824246048544412087,drinking_water,1,0,0,0,37.78286232,-122.49084131,336 - 31st Avenue,San Francisco,CA,94121,DuPont Tennis Courts,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.490841311 37.782862318),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,8,8,4,29,207
St. Anthony's,5693325085513675348,drinking_water,0,1,1,0,37.78205,-122.413147,150 Golden Gate Ave,San Francisco,CA,94102,,publicly_accessible,,,Daily,,puc,POINT (-122.413147 37.78205),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,
Miraloma Clubhouse,1921650187311049316,restroom,0,0,0,0,37.73912951748138,-122.44952483224185,Omar & Sequoia Way,San Francisco,CA,94127,Miraloma Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.449524832 37.739129517),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,72,9,8,41,136
Golden Gate Park Conservatory Bathroom,2595978294909240049,restroom,0,0,0,0,37.77260710998563,-122.46078915541334,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.460789155 37.77260711),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,4,12,231
Tenderloin Pit Stop - 474 O'Farrell Street,3273606294984689376,restroom,0,0,0,0,37.7859,-122.411934,474 O'Farrell Street,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.411934 37.7859),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,
McCoppin Square Clubhouse,341541798497557024,restroom,0,0,0,0,37.74355159416752,-122.48070841028542,24th & Taraval,San Francisco,CA,94116,McCoppin Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.48070841 37.743551594),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,40,10,7,35,139
Cow Hollow Clubhouse,268193261574787356,restroom,0,0,0,0,37.79738737194479,-122.44467421688198,Baker & Filbert St,San Francisco,CA,94123,Cow Hollow Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.444674217 37.797387372),2,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,14,4,6,13,13
Anna E. Waden Branch Library (Bayview),4747163986582751508,drinking_water,1,0,0,0,37.732484671000066,-122.39108620099995,5075 03rd St,San Francisco,CA,94124,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:55""]",library,POINT (-122.391086201 37.732484671),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
J. P. Murphy Clubhouse,5312098977276546560,restroom,0,0,0,0,37.7515640334025,-122.46522255058386,1960 9th Ave,San Francisco,CA,94116,J.P. Murphy Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465222551 37.751564033),7,Inner Sunset,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,45,10,8,14,178
Golden Gate Park Kezar Stadium,3872681446707874355,restroom,0,0,0,0,37.7664188799638,-122.45600136403566,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.456001364 37.76641888),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Palega Playground - Concrete Path Hi-low Drinking Fountain,3884461683335560849,drinking_water,1,1,0,0,37.72937032,-122.40967734,500 Felton Street,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409677341 37.729370317),9,Portola,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,91,2,2,25,130
John McLaren Park - West Turf Drinking Fountain,1261287868802358155,drinking_water,1,0,0,0,37.72325484,-122.42086563,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.420865625 37.723254836),11,McLaren Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,73,9,2,19,7
Civic Center Pit Stop - Grove and Larkin streets (JCDecaux),400838196920771509,restroom,0,0,0,0,37.778732,-122.41693,Grove and Larkin streets (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41693 37.778732),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,21,4,10,36,
Minnie and Lovie Rec Center - Drinking Fountain,1220332958750808487,drinking_water,1,0,0,0,37.71604517,-122.45732735,650 Capitol,San Francisco,CA,94112,Minnie and Lovie Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457327353 37.716045166),11,Oceanview/Merced/Ingleside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,81,10,1,24,89
Ingleside Branch,4343473954297379462,drinking_water,1,0,0,0,37.72405708700006,-122.45626482999995,1298 Ocean Ave,San Francisco,CA,94112,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-18:00"",""Wednesday:10:00-20:00"",""Thursday:12:00-19:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.45626483 37.724057087),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,71,9,8,41,
Golden Gate Park - Section 5 - JFK @ Transverse Drive Drinking Fountain,3711007996261344558,drinking_water,1,0,0,0,37.77055697,-122.48014119,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.480141187 37.770556975),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,232
Sunnyside Playground Restrooms,7362251202804633462,restroom,0,0,0,0,37.73389886280963,-122.44827785752243,233 Melrose Avenue,San Francisco,CA,94127,Sunnyside Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.448277858 37.733898863),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,95,9,8,41,222
Sunset Branch Library,4394614105614042565,drinking_water,1,0,0,0,37.76334875500004,-122.47631075399994,1305 18th Ave,San Francisco,CA,94122,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:55""]",library,POINT (-122.476310754 37.763348755),7,Inner Sunset,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,109,10,7,14,
Glen Canyon Park - Asphalt Pathway Dog Drinking Fountain,3698226825822333411,drinking_water,1,0,0,1,37.73663636,-122.44061655,Elk Street & O'Shaughnessy Blvd,San Francisco,CA,94131,Glen Canyon Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.44061655 37.736636359),8,Glen Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,96,9,5,10,239
In Chan Kaajal Park - Concrete Path Drinking Fountain,2750772783721151621,drinking_water,1,1,0,0,37.76379713,-122.41555595,17th & Folsom St,San Francisco,CA,94110,In Chan Kaajal Park,publicly_accessible,08:00:00,20:00:00,Daily,Bottle filler,rec,POINT (-122.41555595 37.763797128),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,203
Bayview Pit Stop - Mendell Plaza Bayview Pit Stop Daily,8982348774902252933,restroom,0,0,0,0,37.73404,-122.390816,Mendell Plaza   Bayview Pit Stop Daily,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.390816 37.73404),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
Golden Gate Park - Section 1 - Hayes St Entrance Drinking Fountain,5179373945105890645,drinking_water,1,0,0,0,37.77269576,-122.45520271,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.455202711 37.772695757),1,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,4,12,229
Golden Gate Park Kezar Pavilion,5429619544843038820,restroom,0,0,0,0,37.7674506182551,-122.45405121900109,755 Stanyan,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454051219 37.767450618),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Joe DiMaggio Clubhouse/Pool,3522461969507678659,restroom,0,0,0,0,37.802766621583984,-122.41217825917867,651 Lombard St,San Francisco,CA,94133,Joe DiMaggio Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.412178259 37.802766622),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,106,6,3,23,195
Anza Branch Library,7669133687822072481,drinking_water,1,0,0,0,37.77856950700004,-122.49725809499995,550 37th Ave,San Francisco,CA,94121,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:13:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:50""]",library,POINT (-122.497258095 37.778569507),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,8,8,4,29,
Moscone Bathrooms,3218658186314579548,restroom,0,0,0,0,37.80220197759071,-122.43462802212953,1800 Chestnut Street,San Francisco,CA,94123,Moscone Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.434628022 37.802201978),2,Marina,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,17,4,6,13,135
Junipero Serra Clubhouse,639104613465753824,restroom,0,0,0,0,37.72509664499298,-122.47409862618227,300 Stonecrest Dr,San Francisco,CA,94132,Junipero Serra Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.474098626 37.725096645),7,West of Twin Peaks,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,41,10,8,41,182
"SFFD, J C Decaux",4912770129684159724,restroom,0,0,0,0,37.7903437,-122.3889328,389 The Embarcadero S,San Francisco,CA,94105,,publicly_accessible,,,Daily,J C Decaux,port,POINT (-122.3889328 37.7903437),6,Financial District/South Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,30,1,10,8,
Jose Coronado Clubhouse,2650616189117355099,restroom,0,0,0,0,37.757734451779804,-122.41514038511933,21st & Folsom,San Francisco,CA,94110,Jose Coronado Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415140385 37.757734452),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,181
Parque Ninos Unidos Clubhouse,423313379263490907,restroom,0,0,0,0,37.75435237742527,-122.41391608847292,23rd & Treat St,San Francisco,CA,94110,Parque Ninos Unidos,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.413916088 37.754352377),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,2,20,
Golden Gate Park Millwright's House,2023776853834656901,restroom,0,0,0,0,37.76519674032705,-122.5084366108335,,San Francisco,CA,94122,Golden Gate Park - Section 6,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.508436611 37.76519674),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,234
Mid-Market Pit Stop - Hallidie Plaza (JCDecaux),3464628251007818350,restroom,0,0,0,0,37.784412,-122.40778,Hallidie Plaza (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.40778 37.784412),3,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,19,5,3,36,
Richmond Rec Center,6492148637033534034,restroom,0,0,0,0,37.78340553019821,-122.47809345322518,251 18th Ave,San Francisco,CA,94121,Richmond Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.478093453 37.78340553),1,Outer Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,5,8,4,29,121
Alta Plaza Park - Asphalt Pathway Drinking Fountain,6013861082954760476,drinking_water,1,0,0,0,37.79123999,-122.43819734,Jackson & Steiner,San Francisco,CA,94115,Alta Plaza Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438197345 37.791239987),2,Pacific Heights,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,102,4,6,30,149
Mission Dolores North Restrooms,6020738412176969080,restroom,0,0,0,0,37.7607935419036,-122.42768731052698,19th & Dolores St,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.427687311 37.760793542),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,37,3,5,5,213
Washington Square - Drinking Fountain/Cooler,2932039806164345859,drinking_water,1,1,0,0,37.80103016,-122.41062974,Filbert & Stockton,San Francisco,CA,94133,Washington Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.410629743 37.801030161),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,106,6,3,23,94
Mission Pit Stop - Franklin Square Park in the parking lot adjacent to 300 Hampshire St.,7195330164682834754,restroom,0,0,0,0,37.765186,-122.40833,Franklin Square Park in the parking lot adjacent to 300 Hampshire St.,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.40833 37.765186),9,Mission,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,53,3,9,20,
West Sunset Clubhouse,1047867860894292603,restroom,0,0,0,0,37.75066759998502,-122.4983572127628,3223 Ortega Street,San Francisco,CA,94116,West Sunset Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.498357213 37.7506676),4,Sunset/Parkside,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,39,10,7,35,93
Francisco Restroom,6436225575973073163,restroom,0,0,0,0,37.803536458937316,-122.42122885339644,Hyde & Bay,San Francisco,CA,94109,Francisco Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.421228853 37.803536459),2,Russian Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,107,6,6,32,193
Park Branch Library,3072352331007374856,drinking_water,1,0,0,0,37.770135518000075,-122.45100115999998,1833 Page St,San Francisco,CA,94117,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:12:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:12:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:49""]",library,POINT (-122.45100116 37.770135518),5,Haight Ashbury,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,25,7,11,3,
Joseph Lee Rec Center,4732333100158243303,restroom,0,0,0,0,37.73468676316928,-122.38948264747162,1395 Mendell St,San Francisco,CA,94124,Joseph Lee Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.389482647 37.734686763),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,88
Richmond Branch Library,1970251667032378395,drinking_water,1,0,0,0,37.78184424500006,-122.46809920399994,351 09th Ave,San Francisco,CA,94118,10th Ave & Clement Mini Park,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:13:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-20:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:52""]",library,POINT (-122.468099204 37.781844245),1,Inner Richmond,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,5,8,4,11,143
Yik Oi Huang Peace & Friendship Park Clubhouse,1677334419306752607,restroom,0,0,0,0,37.712744823556456,-122.40868229375427,251 Leland St,San Francisco,CA,94134,Visitacion Valley Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.408682294 37.712744824),10,Visitacion Valley,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,75,9,9,40,97
Potrero Hill Rec Center,5068999930283866876,restroom,0,0,0,0,37.7561194353484,-122.39699487131023,801 Arkansas St,San Francisco,CA,94107,Potrero Hill Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.396994871 37.756119435),10,Potrero Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,54,2,9,26,64
Golden Gate Park - Section 1 - Waller Skate Drinking Fountain,222938728267057032,drinking_water,1,1,0,0,37.76828882,-122.45471819,Golden Gate Park,San Francisco,CA,94118,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.454718189 37.768288825),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Golden Gate Park - Section 5 - Speedway Meadow Drinking Fountain,2769273602122445465,drinking_water,1,1,0,0,37.76948929,-122.48477771,Golden Gate Park,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.484777711 37.76948929),4,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,233
Golden Gate Park Mothers Meadow Bathroom,3641707246750174634,restroom,0,0,0,0,37.766384702476635,-122.47669708870976,M.L. King Dr/19th Ave,San Francisco,CA,94122,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476697089 37.766384702),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,4,12,232
Golden Gate Park - Section 1 - Park aid station - drinking fountain,3194906194147016030,drinking_water,1,0,0,0,37.76699113,-122.45332948,811 Stanyan St,San Francisco,CA,94122,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.453329483 37.766991134),5,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,7,11,12,229
Eureka Valley Rec Center,2332821162557756966,restroom,0,0,0,0,37.76025855923793,-122.43646113024141,100 Collingwood,San Francisco,CA,94114,Eureka Valley Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43646113 37.760258559),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,38,3,5,5,208
